file,decade,year,regex你好,regex嗨,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗
头文字d新剧场版：觉醒 新劇場版 頭文字d legend1 -覚醒- 2014.chs.ass,2000,2014,0,3,2,0,0
needing.you.2000.chinese.1080p.bluray.h264.aac-vxt.srt,2000,2000,4,1,0,0,0
the.detective.2007.bluray.720p.dts.2audio.x264-chd.eng.srt,2000,2007,0,0,0,0,0
13.going.on.30.2004.x264.720p.dts.bdrip-chd.chs.srt,2000,2004,7,32,4,2,0
最爱女人购物狂.the.shopaholics.2006.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,2000,2006,3,0,0,0,0
十月围城（2009）匹配（2：18：28）1920x816,2000,2009,0,0,0,0,0
风声.the.messages.2009.720p.周迅李冰冰等众星.eng chn.ass,2000,2009,1,2,0,0,0
tactical.unit.partners.2009.chs.srt,2000,2009,1,0,0,1,0
on.his.ajesty.s.secret.service.2009.bluray.1080p.dts.2audio.x264-chd.chs.srt,2000,2009,0,1,0,2,0
postmen.in.the.mountains.1999.1080p.bluray.x264-usury_chs.srt,2000,1999,0,0,0,0,0
[瘦身男女].love.on.a.diet.2001.mandarin.dvdrip.divx.chs.srt,2000,2001,0,0,0,0,0
芭啦芭啦樱之花.para.para.sakura.2001.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam简中字幕,2000,2001,3,0,0,0,0
夜.奔.fleeing.by.night.2000.1080p.itunes.web-dl.x264.aac-ghyx.chs.srt,2000,2000,7,0,0,0,0
