file,decade,year,regex你好,regex嗨,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗
魔幻厨房（繁体字幕）magic.kitchen.2004.dvdrip.xvid-bob.cht.srt,2000,2004,10,9,0,0,0
旺角黑夜.one.nite.in.mongkok.2004.blu-ray.chs.srt,2000,2004,0,0,0,0,0
你那邊幾點 (简体字幕)what.time.is.it.there.2001.chs.srt,2000,2001,1,0,0,0,0
黑白森林(国语简中字幕)colour of the truth 2003 web-dl 1080p h264 aac-fdhd.srt,2000,2003,1,2,0,2,0
夏日么么茶.summer.holiday.2000.chinese.1080p.bluray.remux.avc.lpcm.2.0-fgts.ass,2000,2000,6,1,0,0,0
仲夏夜玫瑰【简体】eves.bayou.1997.1080p.amzn.web-dl.dd2.0.x264-monkee.chs.srt,2000,1997,0,1,0,0,0
上车走吧 2000 web修复版,2000,2000,1,2,0,0,0
可可西里.mountain.patrol.2004.chinese.1080p.nf.webrip.ddp5.1.x264-ao.srt,2000,2004,1,1,2,0,0
[开往春天的地铁].spring.subway.2002.720p.hdtv.x264-ngb.ssa,2000,2002,1,0,0,0,0
if.you.are.the.one.2008.bluray.720p.x264.dts-wiki.chs.srt,2000,2008,2,3,0,0,0
warriors of heaven and earth 2003 bdrip 1080p x264 ac3 audio-chd.d2.chs.srt,2000,2003,0,0,0,0,0
行运超人 国配简中精校 my.lucky.star.2003.1080p.bluray.remux.x264.flac.lpcm.2.0.2audio-c0ke.国配简中.ass,2000,2003,1,3,0,0,0
atfirstsight.1999.dvdrip.avi.chs.srt,2000,1999,11,59,0,0,0
Riding.Alone.for.Thousands.of.Miles.2005.CHINESE.1080p.NF.WEBRip.DDP2.0.x264-NOGRP.chs.srt,2000,2005,4,0,1,0,0
rule.number.one.2008.retail.repack.dvdrip.xvid.chs.srt,2000,2008,2,0,0,0,0
.DS_Store,2000,None,0,0,0,0,0
astro.boy.720p.bluray.x264-cbgb.chs.srt,2000,None,4,17,1,0,0
独自等待 Waiting.Alone.2005.1080p.BluRay.x264-WiKi.chs.ass,2000,2005,8,4,1,0,0
innocent.witness.2019.korean.1080p.bluray.x264.dts-wmd.chs.srt,2000,2019,10,0,0,0,0
盲山.blind.mountain.uncut.2007.dvdrip.x264.ac3.chs.srt,2000,2007,1,0,0,0,0
zu.warriors.2001.1080p.bluray.x264.aac5.1-[yts.mx].ass,2000,2001,0,0,0,0,0
[陌生人之恋].love.with.the.proper.stranger.1963.1080p.bluray.x264-cinefile.srt,2000,1963,3,40,0,3,0
[柔道龙虎榜].throw.down.2004.1080p.bluray.x264-ghouls.srt,2000,2004,0,0,0,0,0
爱有来生 eternal beloved 2009 720p.hdtv.x264-cnscg.srt,2000,2009,0,3,0,0,0
curse.of.the.golden.flower.2006.bluray.720p.dts.x264-chd.chs.srt,2000,2006,0,0,0,0,0
Lan.Yu.2001.720p.BluRay.x264-WiKi.chs.ass,2000,2001,1,0,0,0,0
好雨时节.a.good.rain.knows.2009.korean.1080p.bluray.h264.srt,2000,2009,21,3,3,1,2
divergence.2005.bluray.720p.x264.ac3.2audios-cmct,2000,2005,0,0,0,0,0
Eternal.Summer.2006.1080p.BluRay.DD.5.1.x264-LHD.chs.srt,2000,2006,0,0,0,0,0
why.me.sweetie.2003.xvid.chs.ass,2000,2003,3,4,0,0,0
运转手之恋.TheCabbie.2000.1080p.BluRay.x264.chs.ass,2000,2000,0,1,0,0,0
[三更2].Three.Monster.2004.XviD.DTS.CD3-WAF.chs.srt,2000,2004,0,1,0,0,0
永无止境withoutlimits.1998.chs.srt,2000,1998,1,7,0,0,0
om.shanti.om.2007.bdrip.x264-tlf-cd2.chs.srt,2000,2007,1,9,3,0,0
爱得起.give.love.2009.hk.dvdrip.x264.2audio.ac3.int-norm.chs.srt,2000,2009,0,3,0,0,0
[恋战冲绳].okinawarendez-vous.2000.dvdrip.divx.chs.srt,2000,2000,2,1,0,0,0
fit.lover.2008.bluray.1080p.dtshd.x264-chd.chs.srt,2000,2008,10,2,2,1,0
薰衣草 Lavender.2000.BluRay.720p.x264.FLAC.2Audios-CMCT.chs.ass,2000,2000,0,0,0,0,0
爱情神话 (简体字幕)fellini.satyricon.1969.criterion.collection.bluray.720p.x264.ac3-hd4u.chs.srt,2000,1969,0,3,0,0,0
deadly.delicious.2008.dvd-rmvb.chs.ass,2000,2008,3,0,0,0,0
mou.gaan.dou.ii.2003.1080p.bluray.dd5.1.x264-w4nk3r.chs.srt,2000,2003,3,0,0,2,0
求求你表扬我.Gimme.Kudos.2005.ass,2000,2005,7,1,0,0,0
七剑.Seven.Swoeds.2005.HK.BluRay.chs.ass,2000,2005,0,0,0,0,0
归途列车.last.train.home.2009.1080p.amzn.web-dl.dd+2.0.x264-bhys.chs.ass,2000,2009,0,0,0,0,0
李米的猜想 The.Equation.of.Love.and.Deat.2008.720p.WEB-DL.DD5.1.H264.chs.ass,2000,2008,0,9,0,0,0
hollywood.hong.kong.2002.dvdrip.x264.ac3.chd.chs.srt,2000,2002,4,0,0,0,0
聊斋艳谭9：聊斋画皮.erotic.ghost.story.ⅸ.2005.dvd5 chn.srt,2000,2005,1,0,0,0,0
worth.2020.1080p.nf.web-dl.ddp5.1.x264-tepes.ass,2000,2020,0,0,0,0,0
cj7.2008.bluray.1080p.x264.dts.chs.srt,2000,2008,5,0,0,1,0
虽然只是弄丢了手机2.stolen.identity.2.2020.1080p.bluray.x264.dts-wiki.cht.srt,2000,2020,1,0,0,1,0
暖春cctv版本.ssa,2000,None,0,5,0,0,0
trackaduowan.2010.chs.srt,2000,2010,0,1,0,0,0
the.twins.effect.2004.bluray.720p.dts.x264-chd.chs.srt,2000,2004,0,0,0,0,0
oscar.1991.1080p.bluray.h264.aac-rarbg.chs.srt,2000,1991,5,9,3,0,0
铁三角（2007）匹配（1：32：57）1280x532,2000,2007,0,0,0,0,0
violet.and.daisy.2011.chs.srt,2000,2011,0,8,0,1,0
新扎师妹 love.undercover.2002.chinese.1080p.bluray.x265-vxt.srt,2000,2002,0,0,0,0,0
subway.1985.720p.bluray.x264-cinefile.chs.srt,2000,1985,8,0,4,0,0
tokyo.raiders.2000.720p.bluray.x264-regret.srt,2000,2000,4,0,0,0,0
mcdull.prince.de.la.bun.2004.dvdrip.xvid-imbt.chs.ass,2000,2004,1,1,0,0,2
男人四十 (第2集简体字幕)fortysomething ep 2.chs.ass,2000,None,7,8,0,0,0
夕阳天使（繁体字幕）so.close.2002.limited.dvdrip.xvid-saphire.cht.srt,2000,2002,1,0,0,0,0
见鬼十法.the.eye.3.2005.hkg.blu-ray.1080p.avc.truehd5.1-mteam.chs.srt,2000,2005,1,1,0,0,0
the.forbidden.kingdom.2008.bluray.720p.x264.dts-wiki.chs.srt,2000,2008,0,1,0,0,0
冲出亚马逊.cctv6.hdtv国语配音.1080p.ass,2000,1080,2,2,0,0,0
