file,decade,year,regex你好,regex嗨,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗
国语.srt,1990,None,1,1,0,0,0
rebels.of.the.neon.god.1992.1080p.bluray.x264-melite.srt,1990,1992,2,8,1,0,0
Fallen.2016.BluRay.720p.x264.AC3-CMCT.chs&eng.ass,1990,2016,2,1,0,0,0
菊豆.Ju.Dou.1990.1080p.BDMV.AVC.DTS-HD.MA.5.1.ass,1990,1990,0,0,0,0,0
twin.dragons.1992.dubbed.1080p.bluray.x264-sadpanda.srt,1990,1992,0,0,0,0,0
春光乍泄 Happy.Together.1997.RESTORED.1080p.BluRay.x264-CiNEPHiLiA.chs&eng.ass,1990,1997,0,1,0,0,0
唐伯虎点秋香 Flirting.Scholar.1993.BluRay.1080p.2Audio.TrueHD.5.1.x264-beAst.chs.ass,1990,1993,0,10,0,1,0
【已校对】[红灯停，绿灯行].signal.left.turn.right.1996.chs_v2.srt,1990,1996,4,1,0,0,0
[非常突然]expect.the.unexpected.1998.frbluray.chs.srt,1990,1998,0,0,0,0,0
A Good Woman (2004).srt,1990,2004,6,0,0,0,0
Encounter of the Spooky Kind II.chs.ass,1990,None,1,0,0,0,0
【首杀字幕组】双龙会2.Judwaa.2.2017.Hindi.1080p.BluRay.x264.DTS.5.1.ESub-Hon3y.真全本,1990,2017,0,0,0,0,0
赌神3之少年赌神[国语字幕]God.of.Gamblers.III.The.Early.Stage.1996.FRA.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,1990,1996,1,1,0,2,0
Keep.Cool.1997.DVDRip.AC3.x264.chs.srt,1990,1997,1,12,0,0,0
三毛从军记.srt,1990,None,0,1,0,0,0
Fist.of.Legend.1994.精武英雄.BluRay.1080P.H264.AAC.ass,1990,1994,2,3,1,1,0
The.Soong.Sisters.1997.720p.BluRay.x264.DTS-WiKi.繁体.srt,1990,1997,4,0,0,0,0
甲方乙方.The.Dream.Factory.1997.1080p.BluRay.REMUX.AVC.TrueHD.4.0.ass,1990,1997,5,3,2,0,0
赌神2[国语字幕]God.of.Gamblers.Return.1994.FRA.Blu-ray.1080p.AVC.DTS-HD.MA.5.1.srt,1990,1994,3,0,0,0,0
Troublesome.Night.2.1997.BluRay.720p.x264.FLAC.2Audios-CMCT.chs.srt,1990,1997,3,3,0,0,0
Once.Upon.a.Time.in.China.II.1992.CHINESE.REMASTERED.1080p.BluRay.x265-VXT.简体中文字幕AndyX.Net重新矫正(适配时长1 h 53 min 8 s 520 ms),1990,1992,0,0,0,0,0
背靠背，脸对脸 Back.to.Back.Face.to.Face.1994.CHINESE.1080p.BluRay.x264.FLAC.2.0-HANDJOB.chs.ass,1990,1994,3,0,0,0,0
The.Unmatchable.Match.1990.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1990,1990,2,1,0,1,0
Police Story 3 Supercop Remastered 1992 1080p BluRay DTS 2Audio x264-HDS.srt,1990,1992,0,0,0,0,0
新不了情.love without end.1970.sb.dvdrip.srt,1990,1970,2,1,0,4,0
The.Element.of.Crime.1984.CC.D9.chs.srt,1990,1984,0,1,0,0,0
驱魔警察.magic.cop.1990.gbr.gbr.bluray.chs.srt,1990,1990,0,0,0,0,0
太极张三丰 The Tai-chi Master （1993） 特效简体字幕.ass,1990,1993,0,0,0,0,0
Treasure.Hunt.1994.720p.BluRay.x264-WiKi_chs.srt,1990,1994,0,0,0,0,0
开心鬼上错身 Happy Ghost 5 DVD.1991.对应国语.chi.srt,1990,1991,1,0,0,1,0
.DS_Store,1990,None,0,0,0,0,0
A.Chinese.Ghost Story.The.Tsui.Hark.Animation.1997.HK.BluRay.国语简体.ass,1990,1997,0,0,0,0,0
香港制造.made.in.hong.kong.1997.1080p.bluray.x264-regret.chs.ass,1990,1997,0,0,0,0,0
阮玲玉 centre.stage.1992.1080p.bluray.x264-melite.srt,1990,1992,3,0,0,0,0
"40carats-livullmann,genekelly.avi.chs.srt",1990,None,13,14,0,0,0
独立时代.A.Confucian.Confusion.1994.DVDRip.HALFCD.CHS.srt,1990,1994,0,0,0,0,0
千王之王（2000）匹配（1：33：03）,1990,2000,0,0,0,0,0
暗战2.Running.Out.Of.Time.2.2001.Blu-Ray.1080P.AVC.TrueHD.7.1.CHD.eng.srt,1990,2001,0,0,0,0,0
Chungking.Express.1994.CHINESE.2160p.UHD.BluRay.x265.10bit.HDR.DTS-HD.MA.5.1-RARBG.ass,1990,1994,2,5,0,2,0
南海十三郎 The.Mad.Phoenix.1997.CHINESE.1080p.BluRay.x264-HANDJOB.chs.ass,1990,1997,2,0,0,2,0
和平饭店 peace hotel 1995 hkg blu-ray 1080p avc truehd 5.1-doraemon.srt,1990,1995,0,0,0,0,0
过年.1995.web-dl.the spring festival.2audio.@至尊宝_track6_[chi].srt,1990,1995,0,1,0,0,0
东方三侠2现代豪侠传[国配]executioners.1993.fra.uhd.blu-ray.2160p.hevc.dts-hd.ma.5.1.srt,1990,1993,0,0,0,0,0
God.of.Gamblers.II.1991.BluRay.1080p.x265.10bit.2Audio-MiniHD.srt,1990,1991,0,4,0,0,0
王祖贤贴吧精准校对版，新流星蝴蝶剑，简体中文字幕.srt,1990,None,0,0,0,0,0
倩女幽魂2 简体.ass,1990,None,0,2,0,0,0
秋菊打官司.The.Story.of.Qiu.Ju.1992.1080p.BDMV.AVC.LPCM.2.0.ass,1990,1992,0,0,0,0,1
