file,decade,year,regex你好,regex上午下午晚上中午早上好,regex你好吗,regex吃了吗,regex嗨
铁板烧teppanyaki.1984.chinese.1080p.nf.webrip.ddp2.0.x264-nogrp.chs.srt,1980,1984,0,0,0,0,0
海滩的一天.That.Day.On.the.Beach.1983.BD.MiniSD-TLF.chs.srt,1980,1983,1,0,0,0,0
学校风云 .School on Fire.林岭东1988作品 .srt,1980,1988,0,0,0,0,0
Happy.Ghost.II.1985.BluRay.720p.x264.FLAC.2Audios-CMCT.chs.ass,1980,1985,5,0,0,0,0
filthy.rich.us.s01e09.1080p.web.h264-cakes.chs.eng.简体&英文.ass,1980,1080,2,5,0,0,0
全家福.a.family.affair.1984.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1980,1984,14,14,0,2,0
The Guardian - 3x19 - Remember.chs.eng.ass,1980,None,4,2,1,0,0
filthy.rich.us.s01e05.1080p.web.h264-cakes.chs.eng.ass,1980,1080,2,3,0,1,0
敦煌 the.silk.road.1988.web-dl.1080p.h264.dd2.0.中日双语.内封简中ffansweb.srt,1980,1988,0,0,0,0,0
投奔怒海.boat.people.1982..bluray.1080p.avc.lpcm1.0.chs.srt,1980,1982,3,0,0,0,0
Taipei.Story.1985.CC.720p.BluRay.DD1.0 x264-BMDru.chs.srt,1980,1985,0,0,0,0,0
孩子王.Hai.Zi.Wang.1987.DVDRip.XviD-RiZZ_CN-cht.srt,1980,1987,0,0,0,0,0
Wreaths.at.the.Foot.of.the.Mountain.1984.CHN.BDRip.X264.AC3.srt,1980,1984,1,0,0,0,0
孩子王 King.of.the.Children.1987.1080p.BluRay.x264-REGRET.chs.ass,1980,1987,0,0,0,0,0
prince.charming.2001.dvdrip.xvid-vh-prod.gb.srt,1980,2001,3,0,0,0,0
Baise.Moi.(DVD.Rip).-.DivX.Chs.srt,1980,None,2,1,5,0,0
notte.prima.degli.esami.2006.dvdrip.xvid.avi.chs.srt,1980,2006,1,8,1,0,0
cleopatra.1934.1080p.bluray.x264.dts-fgt.srt,1980,1934,2,0,0,1,0
鬼打鬼.Spooky.Encounters.1980.BluRay.720p.x264.精校国配字幕.srt,1980,1980,0,0,0,0,0
Picture.of.a.Nymph.1988.2Audio.DVDRip.X264.AAC.iNT-HKDY.cht.srt,1980,1988,0,0,0,0,0
A Good Woman (2004).srt,1980,2004,6,0,0,0,0
少林寺.sb.1976.srt,1980,1976,0,1,0,0,0
Final.Justice.1988.HKG.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1980,1988,0,4,0,0,0
Something.to.Die.For.1999.WEBRip.1080p.x264.AAC-TiNyHD.chi.srt,1980,1999,0,0,0,0,0
海滩的一天 That.Day.On.the.Beach.1983.1080p.BluRay.x264-SUMMERX.chs.ass,1980,1983,1,0,0,0,0
奇谋妙计五福星单文件校正版 ,1980,None,2,0,0,3,0
夏日福星[国语字幕]Twinkle.Twinkle.Lucky.Stars.1985.USA.Extended.Cut.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1980,1985,2,0,0,0,0
[学校风云].School.On.Fire.1988.CHINESE.1080p.BluRay.x264.DTS-FGT.srt,1980,1988,0,0,0,0,0
A.Better.Tomorrow.2018.BluRay.720p.x264.AC3-CMCT.chs.ass,1980,2018,0,0,0,0,0
开心鬼救开心鬼 国粤双语 Happy Ghost IV (1990) Web 1080P,1980,1990,0,0,0,0,0
china's.60th.anniversary.chinese.military.celebration.2009.bluray.720p.dts.x264-chd.chs.srt,1980,2009,0,0,0,0,0
[警察故事二4K修复版]Police.Story.2.1988.REMASTERED.720p.BluRay.x264-GHOULS.srt,1980,1988,1,0,1,0,0
Yubisaki kara Honki no Netsujou Osananajimi wa Shouboushi - 合8集 简体中文.ass,1980,None,1,0,0,0,0
最佳女婿.Faithfully.Yours.1988.DVDRip.X264.AC3.chs.srt,1980,1988,0,3,0,0,0
福星高照.My.Lucky.Stars.Fuk.sing.go.jiu.1985.GBR.BluRay.1080p.x264.DTS.2Audios-BBQDDQ.ass,1980,1985,4,4,0,1,0
孩子王.Hai.Zi.Wang.1987.DVDRip.XviD-RiZZ_CN-chs.srt,1980,1987,0,0,0,0,0
Yubisaki kara Honki no Netsujou Osananajimi wa Shouboushi - 07 繁体中文.ass,1980,None,1,0,0,0,0
Heart.of.the.Dragon.1985.2K.REMASTERED.UNCUT.GBR.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1980,1985,1,3,0,0,0
三狼传奇.srt,1980,None,2,2,0,0,0
稻草人 scarecrow.1987.web-dl.1080p.h264.aac.srt,1980,1987,0,2,0,0,1
阿Q正传.srt,1980,None,0,5,0,0,0
As.Tears.Go.By.1988.BDRip.X264-TLF.chs.srt,1980,1988,1,0,0,1,0
开心鬼上错身 Happy Ghost 5 DVD.1991.对应国语.chi.srt,1980,1991,1,0,0,1,0
Hello.Ghost.2010.720P.HDRip.x264-Death.cht.srt,1980,2010,1,0,0,0,0
.DS_Store,1980,None,0,0,0,0,0
les.fugitifs.1986.720p.bluray.x264-ctrlhd.chs&fra.ass,1980,1986,4,4,0,2,2
英雄本色2.A Better Tomorrow II.1987.1080p.BDMV.AVC.DD.2.0.ass,1980,1987,7,0,0,1,0
[旺角卡门].As.Tears.Go.By.1988.GER.UHD.BluRay.REMUX.HEVC.LPCM.2.0-FGT.srt,1980,1988,1,0,0,1,0
横财三千万 the thirty million rush 1987,1980,1987,0,0,0,2,0
The.Trouble.Shooters.1988.DVDRip.H264-THLY-cd2.chs.srt,1980,1988,3,8,0,1,0
一招半式闯江湖.half.a.loaf.of.kung.fu.1980.gbr.blu-ray.1080p.avc.lpcm.2.0.srt,1980,1980,1,0,0,0,0
[1080P][五女拜寿].Birthday.Congratulations.1984.WEB-DL.1080P.x264.AAC.ass,1980,1080,0,0,0,0,0
林正英.僵尸先生3：灵幻先生.1987.srt,1980,1987,1,0,0,0,0
旺角卡门 As.Tears.Go.By.1988.1080p.BluRay.DD5.1.2Audio.x264-HDS.chs.ass,1980,1988,1,0,0,1,0
老狼请客.ssa,1980,None,0,0,0,0,0
[一半是海水一半是火焰]ocean flame 2008 tw blu-ray 1080p vc-1-ttg.ass,1980,2008,0,0,0,0,0
[東方禿鷹].eastern.condors.1987.bluray.国语.srt,1980,1987,0,0,0,0,0
[A计划续集].Project.A.2.1987.1080p.BluRay.x264-USURY.chs.srt,1980,1987,1,0,1,0,0
雅加达 (简体字幕)Jakarta.2000.DVDrip.DivX-MirAri.gb.srt,1980,2000,0,3,0,1,0
标错参.to.err.is.humane.1987.dvdrip.halfcd.2audios.cht-edit110.cht.ssa,1980,1987,3,0,0,0,0
The Guardian - 3x12 - Beautiful Blue Mystic.chs.eng.ass,1980,None,8,19,3,0,1
the.seventh.curse.1986.extended.1080p.bluray.flac.2.0.x264-c0ke.srt,1980,1986,1,1,0,0,0
Armour.of.God.1986.BluRay.1080p.2Audio.DTS-HD.MA.2.0.x265.10bit-ALT.srt,1980,1986,0,0,0,0,0
牧马人.The.Herdsman.1982.web-dl.MiniFHD.简体中字.srt,1980,1982,0,0,0,0,0
警察故事续集.重制版.Police.Story.II.1988.REMASTERED.BluRay.简中.ass,1980,1988,1,0,1,0,0
The.Sandwich.Man.1983.720p.BluRay.x264-WiKi.chs.ass,1980,1983,1,0,0,0,0
铁甲无敌玛利亚.i.love.maria.1988.hkg.bluray.1080p.blu-ray.avc.lpcm.2.0-mteam_chi.srt,1980,1988,1,0,0,2,0
黑炮事件.TheBlackCannonIncident.1986.DVD.X264.AAC.Chs.srt,1980,1986,5,3,0,0,0
至尊无上之永霸天下.casino.raiders.ii.1991.bluray.1080p.avc.lpcm.2.0-ttg.srt,1980,1991,2,0,0,0,0
飞龙猛将.Dragons.Forever.1988.德版蓝光.BD1080P.X264.AC3.CHS.srt,1980,1988,3,0,0,0,0
Baise.Moi.(DVD.Rip).-.DivX.Cht.srt,1980,None,2,1,5,0,0
return.to.the.36th.chamber.1980.gbr.bdrip.x264.2ac3.srt,1980,1980,0,0,0,1,0
mismatched.couples.1985.dvd.chs.ass,1980,1985,0,1,0,0,0
潘金莲之前世今生.the.re-incarnation.of.golden.lotus.1989.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1980,1989,0,0,0,0,0
夏日福星.Twinkle.Twinkle.Lucky.Stars.1985.USA.Blu-ray.1080p.AVC.DTS-HD.MA.2.0.srt,1980,1985,6,0,0,0,0
上海灘十三太保.1984.bluray.国配.srt,1980,1984,1,0,0,0,0
老井.old.well.1986.2160p.web-dl.h265.ddp2.0-fltth.srt,1980,1986,0,0,0,0,0
"富贵再三逼人.it's.a.mad,.mad,.mad.world.iii.1989.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt",1980,1989,0,0,0,0,0
吉屋藏娇.guests.in.the.house.1988.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1980,1988,0,0,0,0,0
A.Better.Tomorrow.1986.BluRay.720p.DTS.2Audio.x264-CHD.chs.srt,1980,1986,2,0,0,1,0
恐怖分子.蓝光版字幕.1986,1980,1986,0,0,0,0,0
福星高照.My.Lucky.Stars.1985.CHINESE.1080p.BluRay.H264.AAC-VXT.ass,1980,1985,1,0,0,0,0
喋血双雄.The.Killer.1989.HK.BluRay.chs.ass,1980,1989,0,0,0,0,0
黑炮事件.The.Black.Cannon.Incident.1985.ass,1980,1985,6,2,0,0,0
[急冻奇侠].the.iceman.cometh.1989.1080p.bluray.x264-handjob.srt,1980,1989,1,0,0,1,0
（1982年）牧马人1080P（CCTV6高清版）,1980,1982,0,0,0,0,0
The.Happy.Ghost.1984.BluRay.720p.x264.AC3.2Audios-CMCT.chs.ass,1980,1984,0,4,0,0,0
Special.Female.Force.2016.720p.BluRay.x264-WiKi.chs.srt,1980,2016,4,1,0,0,0
人吓人[国配字幕]the.dead.and.the.deadly.1982.gbr.blu-ray.1080p.avc.lpcm.2.0.srt,1980,1982,0,1,0,0,0
Scared.Stiff.1987..chs.srt,1980,1987,3,0,0,0,0
龙的心.srt,1980,None,1,3,0,0,0
新英雄本色.Return.To.A.Better.Tomorrow.1994.WEB-DL,1980,1994,1,0,0,0,0
the.first.time.is.the.last.time.1988.dvdrip.xvid.chs.srt,1980,1988,0,0,0,0,0
EastMovie.Lei.yu.1984.HDTV.1080i.H264-CZW.zh.srt,1980,1984,0,0,0,0,0
Encounter.of.the.Spooky.Kind.1980.CHINESE.1080p.BluRay.x265-VXT.（对应国语）chi.srt,1980,1980,0,0,0,0,0
神枪手The.Shootist.1976.1080p.chs.ass,1980,1976,1,9,0,3,0
霹雳大喇叭.wheres.officer.tuba.ass,1980,None,1,0,0,0,0
鬼打鬼6甩皮鬼(金装鬼打鬼).Skin-Stripper.1992.DVDrip.H264.AAC.960P-BEIZHIZI .srt,1980,1992,0,0,0,0,0
A.Better.Tomorrow.III.1989.Blu-ray.AVC.1080p.DTS-HDMA.7.1-HDRoad,1980,1989,4,1,0,1,0
1980-鬼打鬼.Encounter.of.the.Spooky.Kind.1980.BD1080P粤语繁体.ass,1980,1980,0,0,0,0,0
daughter.of.mine.2018.bdrip.x264-bipolar.srt,1980,2018,2,2,1,0,1
光阴的故事 in.our.time.1982.1080p.bluray.x264-melite.srt,1980,1982,0,0,0,0,0
海滩的一天——中文字幕,1980,None,1,0,0,0,0
海滩的一天.That.Day.On.the.Beach.1983.BD.MiniSD-TLF.Eng.srt,1980,1983,0,0,0,0,0
富贵逼人 Its.A.Mad.Mad.World.1987.CHINESE.1080p.WEBRip.x264-RARBG.srt,1980,1987,0,0,0,0,0
庐山恋 Romance on Lushan Mountain (1980)[国语发音][内封简中][WEBRip][souyouzi].srt,1980,1980,1,0,0,0,0
Bless.This.House.1988.1080p.MyTVS.WEB-DL.H265.AAC-TAGWEB.srt,1980,1988,0,0,0,0,0
【白白爱分享】【国配】福星高照.My.Lucky.Stars.1985.BluRay.1080p.DTS.2Audio.x264-CHD.srt,1980,1985,0,0,0,1,0
royal.warriors.1986.rst.1080p.ger.blu-ray.remux.avc.dd.2.0.chs.srt,1980,1986,0,0,0,1,0
富贵开心鬼.lost.souls.1989.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_cht.srt,1980,1989,1,0,0,0,0
黑炮事件 The.Black.Cannon.Incident.1985.1080p.BluRay.x264-SPECTACLE.srt,1980,1985,6,2,0,0,0
尖叫影院番外篇：天师捉鬼.ass,1980,None,0,0,0,0,0
最佳损友闯情关.the.crazy.companies.2.1988.bluray.1080p.avc.lpcm.2.0-ttg.srt,1980,1988,3,0,0,1,0
The.Haunted.Cop.Shop.1987.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,1980,1987,0,0,0,0,0
龙在天涯.Dragon.Fight.1989.NTSC.DVD5.srt,1980,1989,2,7,1,0,0
Zu.The.Warriors.from.the.Magic.Mountain.1983.GBR.2K.REMASTERED.BluRay.720p.x264.AC3.2Audios-CMCT.chs.srt,1980,1983,0,0,0,0,0
Mr.Vampire.III.1987.HK.REMASTERED.1080p.BluRay.CHS.ass,1980,1987,2,0,0,0,0
[恐怖分子].The.Terrorizers.1986.CHINESE.1080p.BluRay.x264.DTS-FGT.srt,1980,1986,0,0,0,0,0
恐怖分子 The.Terrorizers.1986.CHINESE.1080p.BluRay.x264.DTS-FGT.chs.ass,1980,1986,0,0,0,0,0
peoples.hero.1987.chinese.1080p.bluray.x264.dts-fgt.chs.srt,1980,1987,0,0,0,0,0
The.Trouble.Shooters.1988.DVDRip.H264-THLY-cd1.chs.srt,1980,1988,6,4,0,0,1
孩子王.King.of.the.Children.1987.CHN.Blu-ray.1080P.AVC.LPCM.1.0-doraemon.srt,1980,1987,0,0,0,0,0
新上海滩.shanghai.grand.1996.dvdrip.x264.ac3-dtmm.chs.srt,1980,1996,0,0,1,0,0
金装大酒店.carry.on.hotel.1988.hkg.blu-ray.1080p.avc.truehd.5.1-mteam_chi.srt,1980,1988,0,1,0,1,0
[奇门遁甲].miracle.fighters.1982.remastered.2audio.dvdrip.x264.aac.chd.chs.srt,1980,1982,0,0,0,0,0
江湖情 rich.and.famous.1987.bluray.720p.x264.ac3.2audios-cmct.cht.srt,1980,1987,2,0,0,0,0
省港旗兵3：逃出香港.long.arm.of.the.law.part.3.1989.hkg.blu-ray.1080p.avc.lpcm.2.0-mteam_chi.srt,1980,1989,0,0,0,0,0
开心鬼撞鬼 Happy.Ghost.III.1986.WEB-DL.1080P,1980,1986,0,2,0,0,0
开心鬼撞鬼.Happy.Ghost.III.1986.HKG.Blu-ray.1080p.AVC.LPCM2.0-MTeam_chi.srt,1980,1986,2,0,0,0,0
巴山夜雨.evening.rain.1980.1080p（校对后）.srt,1980,1980,0,2,0,0,0
